Year,State,CPI,Minimum_Wage_State,Minimum_Wage_Federal,Unemployment%_state,GDP_perCap,Inflation_rate,Federal_Interest_Rate,Unemployment_Rate_Federal,Real_GDP_%Change,LFPR,Poverty_Rate
1976,Minnesota,56.9,2.2,2.2,6.0,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Mississippi,56.9,2.2,2.2,6.7,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Missouri,56.9,2.2,2.2,5.9,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Montana,56.9,2.2,2.2,5.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Nebraska,56.9,2.2,2.2,3.3,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Nevada,56.9,2.2,2.2,9.2,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,New Hampshire,56.9,2.2,2.2,6.5,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,New Jersey,56.9,2.2,2.2,10.3,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,New Mexico,56.9,2.2,2.2,8.6,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,New York,56.9,2.3,2.2,10.3,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,North Carolina,56.9,2.2,2.2,6.4,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,North Dakota,56.9,2.2,2.2,3.4,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Ohio,56.9,2.2,2.2,8.1,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Oklahoma,56.9,2.2,2.2,5.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Oregon,56.9,2.3,2.2,9.5,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Pennsylvania,56.9,2.2,2.2,8.0,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Rhode Island,56.9,2.3,2.2,7.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,South Carolina,56.9,2.2,2.2,7.4,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,South Dakota,56.9,2.2,2.2,3.3,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Tennessee,56.9,2.2,2.2,6.0,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Texas,56.9,2.2,2.2,5.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Utah,56.9,2.2,2.2,5.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Vermont,56.9,2.3,2.2,8.6,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Virginia,56.9,2.2,2.2,6.1,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Washington,56.9,2.2,2.2,8.5,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,West Virginia,56.9,2.2,2.2,7.5,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Wisconsin,56.9,2.2,2.2,5.8,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1976,Wyoming,56.9,2.2,2.2,4.1,8592.253537,4.9,4.87,7.9,9.3,74.3,11.62
1977,Alabama,60.6,2.2,2.2,7.3,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Alaska,60.6,2.8,2.2,9.1,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Arizona,60.6,2.2,2.2,9.3,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,Arkansas,60.6,2.2,2.2,6.6,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
1977,California,60.6,2.2,2.2,9.2,9452.576519,6.7,4.61,7.5,4.7,75.1,11.382
